VTC_FECH,VTC_HORA,VTC_CLNU,VTC_CLNO,VTC_CLDO,VTC_CLTD,VTC_TIVA,VTC_COMP,VTC_TCOM,VTC_ABEX,VTC_CBTE,VTC_VEND,VTC_BASE,VTC_MONE,VTC_LIST,VTC_DTC,VTC_COST,VTC_NGRA,VTC_NEXE,VTC_NOTR,VTC_IV21,VTC_IV10,VTC_MO21,VTC_MO10,VTC_IVOT,VTC_NNGR,VTC_IVNO,VTC_NNIN,VTC_PEIB,VTC_TOTA,VTC_MP11,VTC_MP12,VTC_MP13,VTC_MP14,VTC_MP21,VTC_MP22,VTC_MP23,VTC_MP24,VTC_MP31,VTC_MP32,VTC_MP33,VTC_MP34,VTC_OBSE,VTC_FREM,OPE_OPER,VTC_NCAJ,CFG_ID,NUM_SUCU,VTC_LTRA,VTC_REPA,VTC_DEPO,VTC_OTOS,VTC_LACO,VTC_TDPO,VTC_TDMO,VTC_MESA,VTC_FLCO,VTC_CAE,VTC_COBS,VTC_CVTO,VTC_CPAG,VTC_CFIS,VTC_CFFS,VTC_CBAR,VTC_OFID,VTC_CGAS,PER_01,XPERCII,ORDEN,KEY
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024571,3,,,0,0,0,0,0.0,0.0,26762.93,0.0,0.0,0.0,0.0,5620.21,0.0,0.0,0.0,0.0,0.0,0.0,32811.35,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79877,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,428.21,,1,20190701000323
2019-07-01,,5813,ATELSTAM SA                   ,30715778250  ,2,2,Fact A 0003-00024572,3,,,0,0,0,0,0.0,0.0,4538.85,0.0,0.0,0.0,0.0,953.16,0.0,0.0,0.0,0.0,0.0,0.0,5492.01,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79880,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,0.0,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024573,3,,,0,0,0,0,0.0,0.0,33391.0,0.0,0.0,0.0,0.0,7012.11,0.0,0.0,0.0,0.0,0.0,0.0,40937.37,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79882,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,534.26,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024574,3,,,0,0,0,0,0.0,0.0,34011.07,0.0,0.0,0.0,0.0,7142.32,0.0,0.0,0.0,0.0,0.0,0.0,41697.57,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79885,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,544.18,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024575,3,,,0,0,0,0,0.0,0.0,48925.47,0.0,0.0,0.0,0.0,10274.35,0.0,0.0,0.0,0.0,0.0,0.0,59982.63,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79886,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,782.81,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024576,3,,,0,0,0,0,0.0,0.0,44723.55,0.0,22724.29,0.0,0.0,9391.94,2386.05,0.0,0.0,0.0,0.0,0.0,80305.0,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79887,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,1079.17,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024577,3,,,0,0,0,0,0.0,0.0,4087.0,0.0,0.0,0.0,0.0,858.27,0.0,0.0,0.0,0.0,0.0,0.0,5010.66,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79888,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,65.39,,1,20190701000323
2019-07-01,,5019,MERCADO DE MAT DEL INTERIOR SA,30693837622  ,2,2,Fact A 0003-00024578,3,,,0,0,0,0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,8484.0,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,79893,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,14.0,,1,20190701000323
2019-07-01,,94,SANSONI ANGEL Y CIA           ,30500815325  ,2,2,Fact A 0003-00024579,3,,,0,0,0,0,0.0,0.0,10377.52,0.0,0.0,0.0,0.0,2179.28,0.0,0.0,0.0,0.0,0.0,0.0,12712.46,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79906,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,155.66,,1,20190701000323
2019-07-01,,182,LOBERAZ SA                    ,30648524761  ,2,2,Fact A 0003-00024580,3,,,0,0,0,0,0.0,0.0,1355.39,0.0,0.0,0.0,0.0,284.63,0.0,0.0,0.0,0.0,0.0,0.0,1661.71,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,79907,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,21.69,,1,20190701000323
